连云港麦田童画教育信息咨询有限公司海州分公司,3年
海州区东苑社区卡萌莱丽美容店,3年
南京德汇通信技术有限公司连云港分公司,1年
连云港欧奕文化传媒有限公司,1年
兴隆鲜果园,3年
江苏达斌科技有限公司,1年
连云港吉顺贸易有限公司,2年
江苏康济大药房连锁有限公司,2年
连云港百贸网络工程有限公司,6年
连云港畅联网络科技有限公司,6年
江苏伟宏网络科技有限公司,1年
连云港两个桃子网络科技有限公司,2年
连云港安叉工程机械销售有限公司,1年
中国光大银行股份有限公司南京分行,
连云港久巨文化传播有限公司,1年
美团配送合作商,
连云港美琳达健康美容咨询有限公司,1年
连云港厚生餐饮服务有限公司,
青岛快乐生活配送服务有限公司,
海州区路北社区澳菲斯工艺品经营部,1年
连云港红玫瑰文化艺术发展有限公司,1年
连云港汇成海网络科技有限公司,1年
海州区凡帝尼装饰建材贸易商行,7年
广西标典人力资源有限公司,
连云港利墨商贸有限公司,5年
连云港新雨阳光新能源有限公司,2年
中企华建友工程管理有限公司连云港市分公司,1年
赣榆区青口镇青花餐饮店,1年
海州区玉带社区琪雅美容美体工作室,1年
海州区亚兰日用品经营部,1年
艾尚美美容科技（连云港）有限公司,1年
海州区向阳社区相恒睿形象设计工作室,1年
连云港新福达汽车销售服务有限公司,1年
连云港随顺装饰工程有限公司,1年
海州区宁青黛美容店,1年
新浦区新东社区泰秘美容店,1年
连云港星涌文化传媒有限公司,1年
徐州七尚网络科技有限公司,
海底捞,
凯旋健身,3年
海州区金敏美容店,1年
经济技术开发区崔井伟汽车配件经营部,3年
海州区希芙悦美容店,1年
海州区苍梧社区茉兰美容院,1年
连云港及物鸟皮具有限公司,1年
连云港儒房房地产经纪有限公司,1年
赣榆区青口镇文晴美容店,1年
深圳市娜尔思时装有限公司,
海州区川匠保健按摩服务部,2年
连云港翰星房产经纪有限公司,1年
连云港唐弓丰田汽车销售服务有限公司,3年
连云港恒享家房地产经纪有限公司,1年
